Store,Order ID,Item,Quantity,Sales incl Tax,Sales excl Tax,Month,Year,Day,Product_Type,Sales excl Tax EUR,StoreID,Country,Real Order ID,Status
IRIS GALERIE - NUREMBERG,4E61B1DA-7FFD-4116-9B17-6BCA3A6BA98B,P 40x40 Trio,1,159,131.4,7,2023,29,Print,131.4,IG-S055,ALLEMAGNE,4E61B1DA-7FFD-4116-9B17-6BCA3A6BA98B,SUCCURSALE
IRIS GALERIE - NUREMBERG,1696DB13-BC3B-46B5-86CE-F5FE42A9AE62,Digital File Solo,2,158,130.58,7,2023,29,Digital,130.58,IG-S055,ALLEMAGNE,1696DB13-BC3B-46B5-86CE-F5FE42A9AE62,SUCCURSALE
IRIS GALERIE - NUREMBERG,1696DB13-BC3B-46B5-86CE-F5FE42A9AE62,P 20x20 Duo,1,79,65.29,7,2023,29,Print,65.29,IG-S055,ALLEMAGNE,1696DB13-BC3B-46B5-86CE-F5FE42A9AE62,SUCCURSALE
IRIS GALERIE - NUREMBERG,B958FF52-771D-4D1C-84F4-B940048CD502,F 30x30,2,36,29.76,7,2023,29,Frames,29.76,IG-S055,ALLEMAGNE,B958FF52-771D-4D1C-84F4-B940048CD502,SUCCURSALE
IRIS GALERIE - NUREMBERG,B958FF52-771D-4D1C-84F4-B940048CD502,P 30x30 Solo,2,158,130.58,7,2023,29,Print,130.58,IG-S055,ALLEMAGNE,B958FF52-771D-4D1C-84F4-B940048CD502,SUCCURSALE
IRIS GALERIE - NUREMBERG,701D0344-3292-4476-B954-2B27FE96EDD1,P 20x20 Solo,1,49,40.5,7,2023,29,Print,40.5,IG-S055,ALLEMAGNE,701D0344-3292-4476-B954-2B27FE96EDD1,SUCCURSALE
IRIS GALERIE - NUREMBERG,43F27D97-A7FB-41DB-B654-6284E0FABCB8,AD 30x120,1,719,594.21,7,2023,29,AD,594.21,IG-S055,ALLEMAGNE,43F27D97-A7FB-41DB-B654-6284E0FABCB8,SUCCURSALE
IRIS GALERIE - NUREMBERG,43F27D97-A7FB-41DB-B654-6284E0FABCB8,Shipping,1,10,8.26,7,2023,29,Shipping,8.26,IG-S055,ALLEMAGNE,43F27D97-A7FB-41DB-B654-6284E0FABCB8,SUCCURSALE
IRIS GALERIE - NUREMBERG,3596E7B9-168E-48F6-9B42-337532209116,F 20x20,1,16,13.22,7,2023,29,Frames,13.22,IG-S055,ALLEMAGNE,3596E7B9-168E-48F6-9B42-337532209116,SUCCURSALE
IRIS GALERIE - NUREMBERG,3596E7B9-168E-48F6-9B42-337532209116,P 20x20 Duo,1,79,65.29,7,2023,29,Print,65.29,IG-S055,ALLEMAGNE,3596E7B9-168E-48F6-9B42-337532209116,SUCCURSALE
IRIS GALERIE - NUREMBERG,1B8535C8-C324-47BD-9A6F-73CD4382F082,F 20x20,1,16,13.22,7,2023,29,Frames,13.22,IG-S055,ALLEMAGNE,1B8535C8-C324-47BD-9A6F-73CD4382F082,SUCCURSALE
